code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
2691,冀凯股份,专用机械,河北,441.18,1.99,2.0,97115.71,69020.0,19043.48,44227.85,2.21,0.04,4.3,5.46,20120731,18877.95,0.94,35.09,-12.04,40.07,3.7,7331.0
603116,红蜻蜓,服饰,浙江,16.91,1.81,4.17,437325.16,320337.38,56881.8,91502.55,2.19,0.64,8.18,1.72,20150629,195198.06,4.68,15.36,27.96,35.06,11.45,30246.0
600479,千金药业,中成药,湖南,37.87,3.05,3.49,311461.53,222865.77,53325.23,66213.9,1.9,0.28,5.09,2.78,20040312,59625.95,1.71,14.75,48.17,42.63,4.28,30845.0
300105,龙源技术,电器仪表,山东,823.28,5.13,5.13,237503.63,136229.02,16744.75,67710.81,1.32,0.004,3.74,1.26,20100820,61949.38,1.21,25.37,104.07,23.15,0.58,31388.0
2670,国盛金控,证券,广东,48.27,4.92,14.98,2561462.0,1747454.25,7238.82,945964.81,6.32,0.225,7.93,1.83,20120416,91934.61,0.61,1.68,44.88,12.38,53.03,26116.0
591,太阳能,新型电力,重庆,15.92,18.49,30.07,3263466.5,800654.06,1993662.75,669333.13,2.23,0.22899999999999998,3.96,1.22,19960208,220919.34,0.73,32.47,68.5,37.11,18.3,48251.0
600233,圆通速递,仓储物流,辽宁,29.26,7.83,28.25,1161671.5,604097.19,233238.22,590413.06,2.09,0.38,3.13,4.66,20000608,242923.25,0.86,12.91,8.43,12.91,8.22,59083.0
2252,上海莱士,生物制药,上海,77.35,49.73,49.75,1419718.88,678181.25,104488.68,304223.31,0.61,0.19,2.52,7.72,20080623,423609.91,0.85,-9.23,-23.78,63.62,64.06,39275.0
300119,瑞普生物,生物制药,天津,29.0,2.05,4.04,292405.69,133822.91,83151.86,94813.56,2.34,0.253,4.82,2.03,20100917,53456.43,1.32,5.45,3.32,53.78,13.76,14051.0
2379,宏创控股,铝,山东,96.2,5.96,9.26,134452.38,81547.36,16430.89,56846.86,0.61,0.038,1.34,3.66,20100331,-26332.15,-0.28,60.47,373.48,4.07,3.29,49554.0
60,中金岭南,铅锌,深圳,20.56,22.11,23.8,1870375.75,735543.88,509481.56,277848.19,1.17,0.39,4.18,2.38,19970123,429809.0,1.81,33.54,426.63,13.32,5.83,143884.0
